Respondent ID,Product 1 (sale price),Product 1 (original price),Product 1 (promotion),Product 2 (sale price),Product 2 (original price),Product 2 (promotion),Product 3 (sale price),Product 3 (original price),Product 3 (promotion),Product 4 (sale price),Product 4 (original price),Product 4 (promotion),Product 5 (sale price),Product 5 (original price),Product 5 (promotion),Product 6 (sale price),Product 6 (original price),Product 6 (promotion),Product 7 (sale price),Product 7 (original price),Product 7 (promotion),Product 8 (sale price),Product 8 (original price),Product 8 (promotion),Product 9 (sale price),Product 9 (original price),Product 9 (promotion),Product 10 (sale price),Product 10 (original price),Product 10 (promotion),Product 11 (sale price),Product 11 (original price),Product 11 (promotion),Product 12 (sale price),Product 12 (original price),Product 12 (promotion),Product 13 (sale price),Product 13 (original price),Product 13 (promotion),Product 14 (sale price),Product 14 (original price),Product 14 (promotion),Product 15 (sale price),Product 15 (original price),Product 15 (promotion),Product 16 (sale price),Product 16 (original price),Product 16 (promotion),Product 17 (sale price),Product 17 (original price),Product 17 (promotion),Product 18 (sale price),Product 18 (original price),Product 18 (promotion),Product 19 (sale price),Product 19 (original price),Product 19 (promotion),Product 20 (sale price),Product 20 (original price),Product 20 (promotion),Total cart price,Group,Store,Date,Hour
,Honeycrisp apples (1 apple),Honeycrisp apples (1 apple),Honeycrisp apples (1 apple),"Signature Farms Carrots, Baby-Cut, Peeled, 16 oz.","Signature Farms Carrots, Baby-Cut, Peeled, 16 oz.","Signature Farms Carrots, Baby-Cut, Peeled, 16 oz.","Cheerios, 8.9 oz.","Cheerios, 8.9 oz.","Cheerios, 8.9 oz.","Kellogg's Corn Flakes, 18 oz.","Kellogg's Corn Flakes, 18 oz.","Kellogg's Corn Flakes, 18 oz.","Signature Select Corn Flakes, 18 oz.","Signature Select Corn Flakes, 18 oz.","Signature Select Corn Flakes, 18 oz.","Ruffles Original Potato Chips, Party Size, 13 oz.","Ruffles Original Potato Chips, Party Size, 13 oz.","Ruffles Original Potato Chips, Party Size, 13 oz.","Premium Original Saltine Crackers, Lunch Snacks, 16 oz.","Premium Original Saltine Crackers, Lunch Snacks, 16 oz.","Premium Original Saltine Crackers, Lunch Snacks, 16 oz.","Signature Select Saltine Crackers, 16 oz.","Signature Select Saltine Crackers, 16 oz.","Signature Select Saltine Crackers, 16 oz.","Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 9 oz.","Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 9 oz.","Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 9 oz.","Lucerne Eggs, Large, 12 ct.","Lucerne Eggs, Large, 12 ct.","Lucerne Eggs, Large, 12 ct.","KIND Dark Chocolate Nuts & Sea Salt, 6 bars","KIND Dark Chocolate Nuts & Sea Salt, 6 bars","KIND Dark Chocolate Nuts & Sea Salt, 6 bars","Heinz Tomato Ketchup, 20 oz.","Heinz Tomato Ketchup, 20 oz.","Heinz Tomato Ketchup, 20 oz.","Quaker 1-Minute Oats, 42 oz.","Quaker 1-Minute Oats, 42 oz.","Quaker 1-Minute Oats, 42 oz.","Signature Select Quick One Minute Oatmeal, 42 oz.","Signature Select Quick One Minute Oatmeal, 42 oz.","Signature Select Quick One Minute Oatmeal, 42 oz.","Barilla Farfalle, Pasta Made with Durum Wheat, 16 oz.","Barilla Farfalle, Pasta Made with Durum Wheat, 16 oz.","Barilla Farfalle, Pasta Made with Durum Wheat, 16 oz.","Signature Select Farfalle, 12 oz.","Signature Select Farfalle, 12 oz.","Signature Select Farfalle, 12 oz.","Skippy Creamy Peanut Butter, 16 oz.","Skippy Creamy Peanut Butter, 16 oz.","Skippy Creamy Peanut Butter, 16 oz.","Mission Super Soft Taco Flour Tortillas, 10 ct.","Mission Super Soft Taco Flour Tortillas, 10 ct.","Mission Super Soft Taco Flour Tortillas, 10 ct.","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.","Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.","CLIF BAR Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.","CLIF BAR Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.","CLIF BAR Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.",,,,,
114932453819,$2.16,,"Buy 4, save $1",$1.61,,,$7.34,,"Buy 2, save $1",$7.01,,,$4.99,,,$6.47,$7.88,"Buy $40, get $8 off",$3.99,$5.93,,$3.99,,,$4.31,$5.39,,$6.47,,,$10.25,$11.33,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,"Buy $40, get $8 off",$6.47,$7.01,,$2.99,,,$1.35,$2.48,,$3.23,$4.99,,$2.99,$3.99,,$4.31,$7.01,"Buy $30, get $5 off",$19.43,,"Buy $18, get $2 off",$114.34,1-A,Safeway-DC1,9/4/2025,12:00 EST
114932438874,$2.16,,"Buy 4, save $1",$1.61,,,$7.34,,"Buy 2, save $1",$7.01,,,$4.99,,,$6.47,$7.88,"Buy $40, get $8 off",$3.99,$5.93,,$3.99,,,$4.31,$5.39,,$6.47,,,$10.25,$11.33,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,"Buy $40, get $8 off",$6.47,$7.01,,$2.99,,,$1.35,$2.48,,$3.23,$4.99,,$2.99,$3.99,,$4.31,$7.01,"Buy $30, get $5 off",$19.43,,"Buy $18, get $2 off",$114.34,1-A,Safeway-DC1,9/4/2025,12:00 EST
114932438470,$2.16,,"Buy 4, save $1",$1.61,,,$7.34,,"Buy 2, save $1",$7.01,,,$4.99,,,$6.47,$7.88,,$3.99,$5.93,,$3.99,,,$4.31,$5.39,,$6.47,,,$10.25,$11.33,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,,$6.47,$7.01,,$2.99,,,$1.35,$2.48,,$3.23,$4.99,,$2.99,$3.99,,$4.31,$7.01,,$19.43,,"Buy $18, get $2 off",$114.34,1-A,Safeway-DC1,9/4/2025,12:00 EST
114932416841,$2.34,,"Buy 4, save $1",$1.79,,,$7.99,,"Buy 2, save $1",$7.99,,,$4.99,,,$6.99,$8.99,"Buy $40, get $8 off",$3.99,$5.99,,$3.99,,,$4.69,$5.99,,$6.99,,,$10.99,$11.99,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,"buy $40, get $8 off",$6.99,$7.99,,$2.99,,,$1.49,$2.69,,$2.99,$4.99,,$2.99,$3.99,,$4.69,$7.99,"Buy $30, get $5 off",$19.99,,"Buy $18, get $2 off",$119.85,1-B,Safeway-DC1,9/4/2025,12:00 EST
114932442035,$2.34,,"Buy 4, save $1",$1.79,,,$7.99,,"Buy 2, save $1",$7.99,,,$4.99,,,$6.99,$8.99,,$3.99,$5.99,,$3.99,,,$4.69,$5.99,,$6.99,,,$10.99,$11.99,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,,$6.99,$7.99,,$2.99,,,$1.49,$2.69,,$2.99,$4.99,,$2.99,$3.99,,$4.69,$7.99,"Buy $30, get $5 off",$19.99,,"Buy $18, get $2 off",$119.85,1-B,Safeway-DC1,9/4/2025,12:00 EST
114932440575,$2.34,,"Buy 4, save $1",$1.79,,,$7.99,,"Buy 2, save $1",$7.99,,,$4.99,,,$6.99,$8.99,"Buy $40, get $8 off",$3.99,$5.99,,$3.99,,,$4.69,$5.99,,$6.99,,,$10.99,$11.99,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,"Buy $40, get $8 off",$6.99,$7.99,,$2.99,,,$1.49,$2.69,,$2.99,$4.99,,$2.99,$3.99,,$4.69,$7.99,"Buy $30, get $5 off",$19.99,,"Buy $18, get $2 off",$119.85,1-B,Safeway-DC1,9/4/2025,12:00 EST
114932441480,$2.34,,"Buy 4, save $1",$1.79,,,$7.99,,"Buy 2, save $1",$7.99,,,$4.99,,,$6.99,$8.99,"Buy $40, get $8 off",$3.99,$5.99,,$3.99,,,$4.69,$5.99,,$6.99,,,$10.99,$11.99,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,"Buy $40, get $8 off",$6.99,$7.99,,$2.99,,,$1.49,$2.69,,$2.99,$4.99,,$2.99,$3.99,,$4.69,$7.99,"Buy $30, get $5 off",$19.99,,"Buy $18, get $2 off",$119.85,1-B,Safeway-DC1,9/4/2025,12:00 EST
114932433705,$2.34,,"Buy 4, save $1",$1.79,,,$7.99,,,$7.99,,,$4.99,,,$6.99,$8.99,"Buy $40, get $8 off",$3.99,$5.99,,$3.99,,,$4.69,$5.99,,$6.99,,,$10.99,$11.99,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,"Buy $40, get $8 off",$6.99,$7.99,,$2.99,,,$1.49,$2.69,,$2.99,$4.99,,$2.99,$3.99,,$4.69,$7.99,"Buy $30, get $5 off",$19.99,,"Buy $18, get $2 off",$119.85,1-B,Safeway-DC1,9/4/2025,12:00 EST
114932410285,$2.34,,"Buy 4, save $1",$1.79,,,$7.99,,"Buy 2, save $1",$7.99,,,$4.99,,,$6.99,$8.99,"Buy $40, get $8 off",$3.99,$5.99,,$3.99,,,$4.69,$5.99,,$6.99,,,$10.99,$11.99,,$5.99,,"Buy $30, get $5 off",$8.99,$9.99,,$6.99,$7.99,,$2.99,,,$1.49,$2.69,,$2.99,$4.99,,$2.99,$3.99,,$4.69,$7.99,,$19.99,,"Buy $18, get $2 off",$119.85,1-B,Safeway-DC1,9/4/2025,12:00 EST
